Application,Application Version,Category,Primary Location,Line Number,Full Filename,Criticality,Filterset,Folder,Is Reviewed,Tagged,Primary Tag Auto Applied,Bug URL,Has Correlated Issues,Has Comments,Scan Status,Found Date,Removed Date,Is Removed,Is Suppressed,Is Hidden,Analysis Type,Analysis Category,Analyzer,Primary Rule ID,Instance ID,Impact,Likelihood,Severity,Confidence,Kingdom,Fortify Category,CWE,DISA CCI 2,FISMA,GDPR,MISRA C 2012,MISRA C++ 2008,NIST SP 800-53 Rev.4,OWASP Mobile 2014,OWASP Top 10 2004,OWASP Top 10 2007,OWASP Top 10 2010,OWASP Top 10 2013,OWASP Top 10 2017,PCI 1.1,PCI 1.2,PCI 2.0,PCI 3.0,PCI 3.1,PCI 3.2,PCI 3.2.1,PCI SSF 1.0,SANS Top 25 2009,SANS Top 25 2010,SANS Top 25 2011,STIG 3.1,STIG 3.10,STIG 3.4,STIG 3.5,STIG 3.6,STIG 3.7,STIG 3.9,STIG 4.1,STIG 4.2,STIG 4.3,STIG 4.4,STIG 4.5,STIG 4.6,STIG 4.7,STIG 4.8,STIG 4.9,WASC 2.00,WASC 24 + 2
wiecreated,v1,HTML5: Overly Permissive CORS Policy,,0,/,Low,Security Auditor View,Low,false,,,,false,false,REMOVED,Mon Nov 11 15:23:16 UTC 2019,Fri Dec 13 16:16:18 UTC 2019,true,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,aa675b7e-8cbd-2dc2-0131-40dc73a9a72a,1.0,1.0,1.0,5.0,Encapsulation,HTML5: Overly Permissive CORS Policy,,"CCI-001368,CCI-001414",,Access Violation,,,AC-4 Information Flow Enforcement (P1),M5 Poor Authorization and Authentication,,,,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.10,,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,,,,,,,,,,"APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II",Application Misconfiguration (WASC-15),
wiecreated,v1,Privacy Violation: Autocomplete,,0,/,Low,Security Auditor View,Low,false,,,,false,false,UPDATED,Mon Nov 11 15:23:16 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,22d19924-9e5e-c501-0457-956181ddd8fd,0.5,0.5,0.0,5.0,Security Features,Privacy Violation: Autocomplete,CWE ID 525,"CCI-000196,CCI-002361",,Privacy Violation,,,AC-4 Information Flow Enforcement (P1),M4 Unintended Data Leakage,,A6 Information Leakage and Improper Error Handling,,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,Requirement 3.2,"Control Objective 3.3 - Sensitive Data Retention,Control Objective 6.1 - Sensitive Data Protection",,,,"APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APP3210.1 CAT II,APP3310 CAT I,APP3340 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I","APSC-DV-000060 CAT II,APSC-DV-001740 CAT I",Information Leakage (WASC-13),Information Leakage
wiecreated,v1,Compliance Failure: Missing Privacy Policy,,0,/,Low,Security Auditor View,Low,false,,,,false,false,UPDATED,Mon Nov 11 15:23:16 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Best Practices,dc8ae34a-88f1-0774-0f48-2b23033dff38,0.5,0.5,0.0,5.0,Security Features,Compliance Failure: Missing Privacy Policy,,,,Privacy Violation,,,TR-1 Privacy Notice,,,,,,,,,,Requirement 6.5.6,Requirement 6.5.6,Requirement 6.5.6,Requirement 6.5.6,Control Objective 4.2 - Critical Asset Protection,,,,,,,,,,,,,,,,,,,,,
wiecreated,v1,Web Server Misconfiguration: OPTIONS HTTP Method,,0,/,Low,Security Auditor View,Low,false,,,,false,false,REINTRODUCED,Mon Nov 11 15:23:16 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Info,a79244e8-a7b5-4759-4f14-55c3a1bcf453,0.5,0.5,0.0,5.0,Environment,Web Server Misconfiguration: OPTIONS HTTP Method,CWE ID 200,,CM,Indirect Access to Sensitive Data,,,CM-6 Configuration Settings (P2),M1 Weak Server Side Controls,A10 Insecure Configuration Management,A6 Information Leakage and Improper Error Handling,A6 Security Misconfiguration,A6 Sensitive Data Exposure,A3 Sensitive Data Exposure,Requirement 6.5.10,Requirement 6.5.6,,,,,,,,,,APP3620 CAT II,,APP3620 CAT II,APP3620 CAT II,APP3620 CAT II,APP3620 CAT II,,,,,,,,,,,Server Misconfiguration (WASC-14),
wiecreated,v1,HTML5: Cross-Site Scripting Protection,,0,/,Low,Security Auditor View,Low,false,,,,false,false,UPDATED,Fri Dec 13 16:16:18 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,499a272d-f8dd-2de9-fa6b-88237cac64f6,1.0,1.0,1.0,5.0,Encapsulation,HTML5: Cross-Site Scripting Protection,CWE ID 554,CCI-002754,CM,Indirect Access to Sensitive Data,,,SI-10 Information Input Validation (P1),M1 Weak Server Side Controls,A10 Insecure Configuration Management,,A6 Security Misconfiguration,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.10,Requirement 6.3.1.1,Requirement 6.5.1,Requirement 6.5.1,Requirement 6.5.7,Requirement 6.5.7,Requirement 6.5.7,Control Objective 4.2 - Critical Asset Protection,,,,APP3510 CAT I,APP3510 CAT I,APP3510 CAT I,APP3510 CAT I,APP3510 CAT I,APP3510 CAT I,APP3510 CAT I,APSC-DV-002560 CAT I,APSC-DV-002560 CAT I,APSC-DV-002560 CAT I,APSC-DV-002560 CAT I,APSC-DV-002560 CAT I,APSC-DV-002560 CAT I,APSC-DV-002560 CAT I,APSC-DV-002560 CAT I,APSC-DV-002560 CAT I,Application Misconfiguration (WASC-15),
wiecreated,v1,Web Server Misconfiguration: Insecure Content-Type,,0,/,Low,Security Auditor View,Low,false,,,,false,false,UPDATED,Fri Dec 13 16:16:18 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,6fbcd860-7b2b-ae81-9eaf-abbd64159464,1.0,1.0,1.0,5.0,Environment,Web Server Misconfiguration: Insecure Content-Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiecreated,v1,HTML5: Missing Content Security Policy,,0,/,Low,Security Auditor View,Low,false,,,,false,false,UPDATED,Fri Dec 13 16:16:18 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Info,759b5701-0898-dc25-39ad-88697a4fcf37,0.5,0.5,0.0,5.0,Encapsulation,HTML5: Missing Content Security Policy,,"CCI-001368,CCI-001414",,Indirect Access to Sensitive Data,,,AC-4 Information Flow Enforcement (P1),M1 Weak Server Side Controls,,,A6 Security Misconfiguration,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.10,,,,Requirement 6.5.6,Requirement 6.5.6,Requirement 6.5.6,Control Objective 4.2 - Critical Asset Protection,,,,,,,,,,,"APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II",Application Misconfiguration (WASC-15),
wiecreated,v1,HTTP Verb Tampering,,0,/,Medium,Security Auditor View,Medium,false,,,,false,false,NEW,Fri Dec 13 18:28:21 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,a1a2ec22-82df-8dc5-ecbf-1bf84f00e119,2.0,3.0,2.0,5.0,Security Features,HTTP Verb Tampering,"CWE ID 288,CWE ID 302","CCI-000213,CCI-002165",CM,Access Violation,,,AC-3 Access Enforcement (P1),M1 Weak Server Side Controls,A10 Insecure Configuration Management,,A6 Security Misconfiguration,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.10,,,Requirement 6.5.10,Requirement 6.5.10,Requirement 6.5.10,Requirement 6.5.10,Control Objective 5.4 - Authentication and Access Control,,,,,,,,,,,"APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II","APSC-DV-000460 CAT I,APSC-DV-000470 CAT II",Application Misconfiguration (WASC-15),Insufficient Authentication
wiecreated,v1,HTML5: Overly Permissive CORS Policy,,0,/,Low,Security Auditor View,Low,false,,,,false,false,NEW,Fri Dec 13 18:28:21 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,d9052c6c-498d-5213-8a04-ebf2b78b2445,1.0,1.0,1.0,5.0,Encapsulation,HTML5: Overly Permissive CORS Policy,,"CCI-001368,CCI-001414",,Access Violation,,,AC-4 Information Flow Enforcement (P1),M5 Poor Authorization and Authentication,,,,A5 Security Misconfiguration,A6 Security Misconfiguration,Requirement 6.5.10,,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Requirement 6.5.8,Control Objective 5.4 - Authentication and Access Control,,,,,,,,,,,"APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II","APSC-DV-000480 CAT II,APSC-DV-000490 CAT II",Application Misconfiguration (WASC-15),
wiecreated,v1,Insecure Deployment: HTTP Request Smuggling,,0,/,Medium,Security Auditor View,Medium,false,,,,false,false,NEW,Fri Dec 13 18:28:21 UTC 2019,,false,false,false,WebInspect,DYNAMIC,Pentest,Vulnerability,5c38e325-246c-4eca-3409-3bbb58616c88,2.0,3.0,2.0,5.0,Environment,Insecure Deployment: HTTP Request Smuggling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
